LAST SEEN   TYPE      REASON                  OBJECT                                                              MESSAGE
42m         Normal    ExternalProvisioning    persistentvolumeclaim/log-dx-deployment-web-engine-0                Waiting for a volume to be created either by the external provisioner 'cluster.local/nfs-client-nfs-subdir-external-provisioner' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
42m         Normal    Scheduled               pod/dx-deployment-persistence-connection-pool-7c47cc988f-wqwvv      Successfully assigned digital-experience/dx-deployment-persistence-connection-pool-7c47cc988f-wqwvv to worker-2
42m         Normal    SuccessfulCreate        statefulset/dx-deployment-digital-asset-management                  create Pod dx-deployment-digital-asset-management-0 in StatefulSet dx-deployment-digital-asset-management successful
42m         Normal    SuccessfulCreate        replicaset/dx-deployment-ring-api-69d69497d5                        Created pod: dx-deployment-ring-api-69d69497d5-wn7pc
42m         Normal    ProvisioningSucceeded   persistentvolumeclaim/dx-deployment-digital-asset-management        Successfully provisioned volume pvc-fd885356-2671-4c37-af6f-959ebdeb6379
42m         Normal    SuccessfulCreate        replicaset/dx-deployment-content-composer-79d7fd546f                Created pod: dx-deployment-content-composer-79d7fd546f-f5nn5
42m         Normal    Provisioning            persistentvolumeclaim/log-dx-deployment-web-engine-0                External provisioner is provisioning volume for claim "digital-experience/log-dx-deployment-web-engine-0"
42m         Normal    Provisioning            persistentvolumeclaim/dx-deployment-digital-asset-management        External provisioner is provisioning volume for claim "digital-experience/dx-deployment-digital-asset-management"
42m         Normal    ScalingReplicaSet       deployment/dx-deployment-content-composer                           Scaled up replica set dx-deployment-content-composer-79d7fd546f from 0 to 1
42m         Normal    Provisioning            persistentvolumeclaim/database-dx-deployment-persistence-node-0     External provisioner is provisioning volume for claim "digital-experience/database-dx-deployment-persistence-node-0"
42m         Normal    ScalingReplicaSet       deployment/dx-deployment-runtime-controller                         Scaled up replica set dx-deployment-runtime-controller-7b474b9bbf from 0 to 1
42m         Normal    ExternalProvisioning    persistentvolumeclaim/dx-deployment-digital-asset-management        Waiting for a volume to be created either by the external provisioner 'cluster.local/nfs-client-nfs-subdir-external-provisioner' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
42m         Normal    ProvisioningSucceeded   persistentvolumeclaim/log-dx-deployment-web-engine-0                Successfully provisioned volume pvc-c17cd0eb-e16c-433e-a285-d218fd3446fa
42m         Normal    SuccessfulCreate        statefulset/dx-deployment-web-engine                                create Claim customization-dx-deployment-web-engine-0 Pod dx-deployment-web-engine-0 in StatefulSet dx-deployment-web-engine success
42m         Normal    SuccessfulCreate        statefulset/dx-deployment-persistence-node                          create Claim database-dx-deployment-persistence-node-0 Pod dx-deployment-persistence-node-0 in StatefulSet dx-deployment-persistence-node success
42m         Normal    Scheduled               pod/dx-deployment-digital-asset-management-0                        Successfully assigned digital-experience/dx-deployment-digital-asset-management-0 to worker-0
42m         Normal    SuccessfulCreate        statefulset/dx-deployment-persistence-node                          create Pod dx-deployment-persistence-node-0 in StatefulSet dx-deployment-persistence-node successful
42m         Normal    Scheduled               pod/dx-deployment-ring-api-69d69497d5-wn7pc                         Successfully assigned digital-experience/dx-deployment-ring-api-69d69497d5-wn7pc to worker-1
42m         Normal    Scheduled               pod/dx-deployment-web-engine-0                                      Successfully assigned digital-experience/dx-deployment-web-engine-0 to worker-1
42m         Normal    ProvisioningSucceeded   persistentvolumeclaim/customization-dx-deployment-web-engine-0      Successfully provisioned volume pvc-b64e0fe6-b2c4-4054-97fc-ecc0a3ff9aa0
42m         Normal    SuccessfulCreate        replicaset/dx-deployment-persistence-connection-pool-7c47cc988f     Created pod: dx-deployment-persistence-connection-pool-7c47cc988f-wqwvv
42m         Normal    SuccessfulCreate        replicaset/dx-deployment-haproxy-8cc95c9c9                          Created pod: dx-deployment-haproxy-8cc95c9c9-q827d
42m         Normal    ScalingReplicaSet       deployment/dx-deployment-image-processor                            Scaled up replica set dx-deployment-image-processor-747c9457fc from 0 to 1
42m         Normal    ScalingReplicaSet       deployment/dx-deployment-persistence-connection-pool                Scaled up replica set dx-deployment-persistence-connection-pool-7c47cc988f from 0 to 1
42m         Normal    Scheduled               pod/dx-deployment-runtime-controller-7b474b9bbf-wx2kr               Successfully assigned digital-experience/dx-deployment-runtime-controller-7b474b9bbf-wx2kr to worker-1
