LAST SEEN   TYPE      REASON                  OBJECT                                                            MESSAGE
13m         Normal    Pulled                  pod/dx-deployment-persistence-connection-pool-7c47cc988f-qfl2c    Container image "image-registry.openshift-image-registry.svc:5000/openshift/dx-persistence-connection-pool:v1.41.0_20251024-1356" already present on machine
13m         Normal    Started                 pod/dx-deployment-persistence-connection-pool-7c47cc988f-qfl2c    Started container persistence-connection-pool
13m         Normal    Created                 pod/dx-deployment-persistence-connection-pool-7c47cc988f-qfl2c    Created container: persistence-connection-pool
12m         Warning   BackOff                 pod/dx-deployment-digital-asset-management-0                      Back-off restarting failed container digital-asset-management in pod dx-deployment-digital-asset-management-0_digital-experience(4826bc1a-4e3f-4893-822f-31d5b379a4d7)
12m         Normal    Pulled                  pod/dx-deployment-digital-asset-management-0                      Container image "image-registry.openshift-image-registry.svc:5000/openshift/dx-digital-asset-manager:v1.43.0_20251024-1357" already present on machine
12m         Normal    Created                 pod/dx-deployment-digital-asset-management-0                      Created container: digital-asset-management
12m         Normal    Started                 pod/dx-deployment-digital-asset-management-0                      Started container digital-asset-management
11m         Normal    Killing                 pod/dx-deployment-web-engine-0                                    Stopping container trace-log
11m         Normal    Killing                 pod/dx-deployment-web-engine-0                                    Stopping container web-engine
11m         Normal    SuccessfulDelete        statefulset/dx-deployment-web-engine                              delete Pod dx-deployment-web-engine-0 in StatefulSet dx-deployment-web-engine successful
11m         Normal    Killing                 pod/dx-deployment-web-engine-0                                    Stopping container system-out-log
11m         Normal    Scheduled               pod/dx-deployment-web-engine-0                                    Successfully assigned digital-experience/dx-deployment-web-engine-0 to worker-1
11m         Normal    SuccessfulCreate        statefulset/dx-deployment-web-engine                              create Pod dx-deployment-web-engine-0 in StatefulSet dx-deployment-web-engine successful
11m         Normal    AddedInterface          pod/dx-deployment-web-engine-0                                    Add eth0 [10.129.3.177/23] from ovn-kubernetes
11m         Normal    Pulled                  pod/dx-deployment-web-engine-0                                    Container image "image-registry.openshift-image-registry.svc:5000/openshift/dx-logging-sidecar:v1.0.0_20251024-1349" already present on machine
11m         Normal    Pulled                  pod/dx-deployment-web-engine-0                                    Container image "image-registry.openshift-image-registry.svc:5000/openshift/dx-logging-sidecar:v1.0.0_20251024-1349" already present on machine
11m         Normal    Created                 pod/dx-deployment-web-engine-0                                    Created container: trace-log
11m         Normal    Started                 pod/dx-deployment-web-engine-0                                    Started container trace-log
11m         Normal    Started                 pod/dx-deployment-web-engine-0                                    Started container system-out-log
11m         Normal    Created                 pod/dx-deployment-web-engine-0                                    Created container: system-out-log
8m13s       Normal    Started                 pod/dx-deployment-web-engine-0                                    Started container web-engine
5m14s       Normal    Created                 pod/dx-deployment-web-engine-0                                    Created container: web-engine
3m33s       Warning   Unhealthy               pod/dx-deployment-content-composer-79d7fd546f-sdgbd               Readiness probe failed: HTTP probe failed with statuscode: 500
79s         Warning   BackOff                 pod/dx-deployment-web-engine-0                                    Back-off restarting failed container web-engine in pod dx-deployment-web-engine-0_digital-experience(880f32b2-cd38-4f7b-873f-cc81f54c137e)
10s         Warning   Unhealthy               pod/dx-deployment-ring-api-69d69497d5-pdcvj                       Readiness probe failed: HTTP probe failed with statuscode: 500
7s          Normal    Pulled                  pod/dx-deployment-web-engine-0                                    Container image "image-registry.openshift-image-registry.svc:5000/openshift/dx-webengine:CF231_20251025-2351" already present on machine
